------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 74009
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 56806 connected with 10.0.0.2 port 5001 (ct=51.07 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 72.0000-73.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       50K/271068 us  0.72
[  5] 73.0000-74.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       55K/297299 us  0.66
[  5] 74.0000-75.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       46K/423631 us  0.31
[  5] 75.0000-76.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/178337 us  1.10
[  5] 76.0000-77.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/215585 us  0.91
[  5] 77.0000-78.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0       46K/250581 us  0.26
[  5] 78.0000-79.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       49K/267208 us  0.73
[  5] 79.0000-80.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       53K/336151 us  0.58
[  5] 80.0000-81.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       38K/307293 us  0.42
[  5] 81.0000-82.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       35K/180282 us  1.08
[  5] 82.0000-83.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/221840 us  0.88
[  5] 83.0000-84.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       46K/248365 us  0.79
[  5] 84.0000-85.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/283526 us  0.69
[  5] 85.0000-86.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       56K/308083 us  0.63
[  5] 86.0000-87.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          3       14K/170359 us  1.15
[  5] 87.0000-88.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/134231 us  0.97
[  5] 88.0000-89.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/180787 us  1.08
[  5] 89.0000-90.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/224565 us  0.87
[  5] 0.0000-90.2875 sec  15.7 MBytes  1.46 Mbits/sec  180/1         89       -1K/242834 us  0.75
