PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=911 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=867 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=910 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=922 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=939 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=899 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=796 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=871 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=876 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=904 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=901 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=910 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=920 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=928 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=938 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=957 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=1009 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=1014 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=1011 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=1037 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=1039 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=1042 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=974 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=1023 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=1016 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=1015 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=1007 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=999 ms
